Timestep,Score,Won,Steps Alive
746576,4,0,256
747480,2,0,113
750392,6,0,364
751168,2,0,97
752584,3,0,177
752976,0,0,49
753800,2,0,103
754224,2,0,53
755088,2,0,108
755472,1,0,48
755856,2,0,48
758240,7,0,298
758808,1,0,71
760024,4,0,152
760792,2,0,96
761824,2,0,129
762624,3,0,100
763960,3,0,167
764352,1,0,49
764736,2,0,48
767056,6,0,290
770456,6,0,425
770840,1,0,48
771216,1,0,47
771600,1,0,48
771976,0,0,47
772352,1,0,47
772728,2,0,47
773520,2,0,99
774840,3,0,165
775704,2,0,108
776248,1,0,68
777776,5,0,191
778248,1,0,59
779432,3,0,148
779864,1,0,54
780280,1,0,52
780656,2,0,47
781040,2,0,48
781432,0,0,49
781848,1,0,52
783216,4,0,171
783592,2,0,47
784952,4,0,170
786112,4,0,145
786440,1,0,41
786824,0,0,48
787608,2,0,98
787992,1,0,48
790888,9,0,362
791272,2,0,48
791720,1,0,56
792496,2,0,97
793880,3,0,173
794264,1,0,48
794648,1,0,48
795200,1,0,69
795584,1,0,48
797744,9,0,270
799200,4,0,182
799784,1,0,73
801600,5,0,227
802008,0,0,51
803176,2,0,146
803560,1,0,48
804000,1,0,55
806160,5,0,270
807408,3,0,156
808208,2,0,100
809792,5,0,198
810168,1,0,47
811344,4,0,147
811768,1,0,53
812160,0,0,49
813416,2,0,157
815192,4,0,222
815584,1,0,49
817128,5,0,193
819208,6,0,260
819616,2,0,51
821128,3,0,189
821680,1,0,69
822168,1,0,61
824088,3,0,240
825280,3,0,149
826080,2,0,100
826576,1,0,62
827408,2,0,104
828584,3,0,147
829584,3,0,125
830440,3,0,107
830880,1,0,55
831664,2,0,98
833008,4,0,168
833416,2,0,51
834896,3,0,185
835360,0,0,58
836208,1,0,106
838368,2,0,270
839240,2,0,109
839680,1,0,55
840064,1,0,48
841240,3,0,147
841704,1,0,58
845056,7,0,419
845432,1,0,47
845864,1,0,54
847024,3,0,145
847408,1,0,48
848584,4,0,147
849792,4,0,151
851688,7,0,237
852368,2,0,85
852776,0,0,51
853192,1,0,52
853576,0,0,48
854400,1,0,103
855248,2,0,106
856080,3,0,104
857744,6,0,208
858592,3,0,106
859784,4,0,149
860168,1,0,48
860552,1,0,48
861008,1,0,57
865096,7,0,511
865480,1,0,48
865856,0,0,47
866256,1,0,50
867120,2,0,108
868848,6,0,216
869232,1,0,48
870120,2,0,111
873000,4,0,360
873488,1,0,61
873880,1,0,49
874272,1,0,49
874880,1,0,76
875800,3,0,115
877528,4,0,216
879256,5,0,216
881400,6,0,268
884776,5,0,422
885584,1,0,101
886840,5,0,157
888456,4,0,202
888904,1,0,56
890128,3,0,153
890512,1,0,48
891272,2,0,95
892488,3,0,152
895816,6,0,416
896976,3,0,145
897408,1,0,54
898704,5,0,162
899112,1,0,51
900808,3,0,212
901608,2,0,100
901992,1,0,48
902424,1,0,54
902792,1,0,46
904080,3,0,161
904576,1,0,62
906776,3,0,275
908040,3,0,158
908432,1,0,49
909248,2,0,102
909624,2,0,47
910128,1,0,63
911296,4,0,146
911880,1,0,73
912320,1,0,55
913520,3,0,150
914384,2,0,108
916000,4,0,202
918736,3,0,342
919128,0,0,49
920704,6,0,197
921152,1,0,56
923880,2,0,341
925032,4,0,144
926144,2,0,139
926904,4,0,95
927320,1,0,52
928464,4,0,143
929320,1,0,107
929880,0,0,70
930784,2,0,113
931560,2,0,97
931936,2,0,47
933336,2,0,175
934536,3,0,150
937048,4,0,314
937728,1,0,85
942320,8,0,574
942888,1,0,71
945040,6,0,269
945480,1,0,55
946240,3,0,95
948864,6,0,328
950064,4,0,150
950480,1,0,52
950888,1,0,51
951312,2,0,53
951688,2,0,47
952128,1,0,55
952520,1,0,49
952904,1,0,48
953296,1,0,49
954856,3,0,195
956152,4,0,162
957208,2,0,132
957608,2,0,50
957992,1,0,48
959120,3,0,141
959512,1,0,49
959968,1,0,57
960384,1,0,52
961584,1,0,150
962928,2,0,168
964160,3,0,154
964536,2,0,47
965776,4,0,155
966696,4,0,115
967088,1,0,49
967752,1,0,83
968848,5,0,137
969352,1,0,63
969728,2,0,47
971120,3,0,174
972416,3,0,162
972872,2,0,57
975280,5,0,301
975672,1,0,49
976696,1,0,128
977120,1,0,53
977528,1,0,51
978792,4,0,158
979936,1,0,143
981328,3,0,174
981784,0,0,57
982640,2,0,107
984272,3,0,204
984656,1,0,48
985808,2,0,144
987456,4,0,206
988232,3,0,97
988608,1,0,47
990136,3,0,191
993192,4,0,382
993608,1,0,52
995208,4,0,200
996968,3,0,220
997360,0,0,49
998200,1,0,105
999096,2,0,112
999808,2,0,89
1004648,4,0,605
1005216,1,0,71
1005760,1,0,68
1007152,4,0,174
1007520,2,0,46
1009848,2,0,291
1010696,2,0,106
1011136,1,0,55
1011560,1,0,53
1012032,2,0,59
1013528,4,0,187
1014392,2,0,108
1015160,2,0,96
1015608,1,0,56
1015816,2,0,26
1016264,0,0,56
1016640,2,0,47
1017040,2,0,50
1017864,3,0,103
1018664,2,0,100
1019600,2,0,117
1020264,0,0,83
1021808,4,0,193
1022600,2,0,99
1024016,2,0,177
1024512,2,0,62
1025016,1,0,63
1026680,2,0,208
1027248,1,0,71
1028288,2,0,130
1029864,5,0,197
1030320,1,0,57
1030832,1,0,64
1031280,1,0,56
1032248,4,0,121
1032640,0,0,49
1033048,1,0,51
1035912,4,0,358
1037144,2,0,154
1038552,3,0,176
1042752,5,0,525
1043144,1,0,49
1044776,5,0,204
1045152,2,0,47
1047592,6,0,305
1048928,4,0,167
1049552,1,0,78
1049960,1,0,51
1050464,2,0,63
1050848,1,0,48
1051224,0,0,47
1051984,2,0,95
1052368,1,0,48
1052856,1,0,61
1054808,5,0,244
1057672,4,0,358
1058152,1,0,60
1058760,1,0,76
1060024,3,0,158
1060984,1,0,120
1062280,4,0,162
1064712,3,0,304
1064968,1,0,32
1065480,0,0,64
1067520,4,0,255
1070008,4,0,311
1070392,1,0,48
1071904,5,0,189
1072344,1,0,55
1073504,3,0,145
1073984,1,0,60
1074744,2,0,95
1075176,1,0,54
1075960,2,0,98
1076408,1,0,56
1077624,4,0,152
1078504,1,0,110
1078928,0,0,53
1082176,4,0,406
1082624,1,0,56
1083088,1,0,58
1084256,3,0,146
1085800,2,0,193
1086192,1,0,49
1087352,2,0,145
1088584,3,0,154
1091952,8,0,421
1092496,1,0,68
1093480,2,0,123
1094072,2,0,74
1095240,4,0,146
1095784,1,0,68
1096504,1,0,90
1096896,1,0,49
1098144,3,0,156
1099440,4,0,162
1101456,3,0,252
1101832,1,0,47
1102232,1,0,50
1102704,0,0,59
1103976,4,0,159
1105136,4,0,145
1106304,4,0,146
1106736,1,0,54
1107240,1,0,63
1108480,0,0,155
1108896,1,0,52
1109288,1,0,49
1110872,4,0,198
1111648,3,0,97
1112568,2,0,115
1113704,3,0,142
1114536,2,0,104
1116184,5,0,206
1116576,1,0,49
1117432,1,0,107
1119320,5,0,236
1120688,2,0,171
1121072,1,0,48
1121632,0,0,70
1122056,1,0,53
1122448,1,0,49
1124704,6,0,282
1126256,3,0,194
1126800,1,0,68
1128424,3,0,203
1129328,1,0,113
1130960,3,0,204
1131728,2,0,96
1133320,4,0,199
1134552,1,0,154
1136184,5,0,204
1136984,2,0,100
1138128,3,0,143
1140120,2,0,249
1143248,2,0,391
1143616,2,0,46
1144704,2,0,136
1145208,1,0,63
1149936,6,0,591
1150328,1,0,49
1151416,2,0,136
1151832,1,0,52
1153560,3,0,216
1156160,2,0,325
1159728,6,0,446
1160696,4,0,121
1161280,1,0,73
1162480,5,0,150
1163128,1,0,81
1163584,0,0,57
1166120,4,0,317
1166496,0,0,47
1166888,1,0,49
1167328,1,0,55
1167952,1,0,78
1168496,1,0,68
1171976,4,0,435
1173520,2,0,193
1174288,3,0,96
1175752,4,0,183
1176184,1,0,54
1180512,4,0,541
1181720,4,0,151
1182224,1,0,63
1183688,4,0,183
1184520,1,0,104
1185704,3,0,148
1186864,2,0,145
1187408,2,0,68
1188216,2,0,101
1189024,1,0,101
